#build start(15;10; Top left corner of central stairs) Put some stone-fall traps down.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,Ts,Ts,Ts,,~,~,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,Ts,`,`,,~,~,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,Ts,Ts,`,,~,~,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,`,Ts,`,`,`,`,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,Ts,Ts,`,`,`,`,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,Ts,`,`,Ts,Ts,`,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,Ts,Ts,Ts,`,Ts,`,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,`,`,`,`,Ts,`,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,Ts,Ts,Ts,Ts,Ts,`,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,Ts,`,`,`,`,`,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,Ts,Ts,Ts,Ts,Ts,`,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,`,`,`,`,Ts,`,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,Ts,Ts,Ts,Ts,Ts,`,#
`,,,,,,,,,,,,,,,,,,,,,,`,`,Ts,`,`,`,`,`,#
`,,,,,,,,,,,,`,~,~,~,~,`,,,,,`,`,Ts,Ts,Ts,Ts,Ts,`,#
`,,,,,,,,,,,,`,~,~,~,~,`,,,,,`,`,`,`,`,`,Ts,`,#
`,,,,,,,,,,,,`,,,,,`,,,,,~,~,Ts,Ts,Ts,Ts,Ts,`,#
`,,,,,,,,,,,,`,,,,,`,,,,,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,~,~,~,~,`,`,`,`,`,`,`,`,`,`,`,`,`,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
